year,地域コード,昼間通学者／総数（人）,昼間通学者／男（人）,昼間通学者／女（人）,常住通学者／総数（人）,常住通学者／男（人）,常住通学者／女（人）,流入通学者／総数（人）,流入通学者／男（人）,流入通学者／女（人）,流出通学者／総数（人）,流出通学者／男（人）,流出通学者／女（人）,流入超過通学者／総数（人）,流入超過通学者／男（人）,流入超過通学者／女（人）,残留通学者／総数（人）,残留通学者／男（人）,残留通学者／女（人）,昼夜間通学者比率／総数,昼夜間通学者比率／男,昼夜間通学者比率／女
2015,13000,1679335.0,864244.0,815091.0,1421603.0,737130.0,684473.0,327011.0,166858.0,160153.0,69279.0,39744.0,29535.0,257732.0,127114.0,130618.0,1352324.0,697386.0,654938.0,118.1,117.2,119.1
2015,13100,1133360.0,580791.0,552569.0,892019.0,460368.0,431651.0,317539.0,161768.0,155771.0,76198.0,41345.0,34853.0,241341.0,120423.0,120918.0,815821.0,419023.0,396798.0,127.1,126.2,128.0
2015,13101,69443.0,33328.0,36115.0,5654.0,2800.0,2854.0,65405.0,31337.0,34068.0,1616.0,809.0,807.0,63789.0,30528.0,33261.0,4038.0,1991.0,2047.0,1228.2,1190.3,1265.4
2015,13102,10298.0,4963.0,5335.0,10667.0,5382.0,5285.0,3277.0,1347.0,1930.0,3646.0,1766.0,1880.0,-369.0,-419.0,50.0,7021.0,3616.0,3405.0,96.5,92.2,100.9
2015,13103,45898.0,22780.0,23118.0,20072.0,10214.0,9858.0,31232.0,15299.0,15933.0,5406.0,2733.0,2673.0,25826.0,12566.0,13260.0,14666.0,7481.0,7185.0,228.7,223.0,234.5
2015,13104,83025.0,47796.0,35229.0,25266.0,12976.0,12290.0,66148.0,38819.0,27329.0,8389.0,3999.0,4390.0,57759.0,34820.0,22939.0,16877.0,8977.0,7900.0,328.6,368.3,286.6
2015,13105,67476.0,34963.0,32513.0,24673.0,13256.0,11417.0,51436.0,26278.0,25158.0,8633.0,4571.0,4062.0,42803.0,21707.0,21096.0,16040.0,8685.0,7355.0,273.5,263.8,284.8
2015,13106,17319.0,8824.0,8495.0,14698.0,7562.0,7136.0,7495.0,3766.0,3729.0,4874.0,2504.0,2370.0,2621.0,1262.0,1359.0,9824.0,5058.0,4766.0,117.8,116.7,119.0
2015,13107,21302.0,11461.0,9841.0,22193.0,11515.0,10678.0,6380.0,3690.0,2690.0,7271.0,3744.0,3527.0,-891.0,-54.0,-837.0,14922.0,7771.0,7151.0,96.0,99.5,92.2
2015,13108,42970.0,22767.0,20203.0,48999.0,25404.0,23595.0,9039.0,5052.0,3987.0,15068.0,7689.0,7379.0,-6029.0,-2637.0,-3392.0,33931.0,17715.0,16216.0,87.7,89.6,85.6
2015,13109,40170.0,19360.0,20810.0,32908.0,16824.0,16084.0,18442.0,8187.0,10255.0,11180.0,5651.0,5529.0,7262.0,2536.0,4726.0,21728.0,11173.0,10555.0,122.1,115.1,129.4
2015,13110,32378.0,19262.0,13116.0,25311.0,13054.0,12257.0,17542.0,11385.0,6157.0,10475.0,5177.0,5298.0,7067.0,6208.0,859.0,14836.0,7877.0,6959.0,127.9,147.6,107.0
2015,13111,57941.0,30809.0,27132.0,69322.0,35846.0,33476.0,11385.0,6421.0,4964.0,22766.0,11458.0,11308.0,-11381.0,-5037.0,-6344.0,46556.0,24388.0,22168.0,83.6,85.9,81.0
2015,13112,120823.0,63316.0,57507.0,93647.0,49636.0,44011.0,57517.0,29682.0,27835.0,30341.0,16002.0,14339.0,27176.0,13680.0,13496.0,63306.0,33634.0,29672.0,129.0,127.6,130.7
2015,13113,50504.0,20519.0,29985.0,16422.0,8224.0,8198.0,40564.0,15549.0,25015.0,6482.0,3254.0,3228.0,34082.0,12295.0,21787.0,9940.0,4970.0,4970.0,307.5,249.5,365.8
2015,13114,31218.0,15833.0,15385.0,25581.0,13233.0,12348.0,16678.0,8295.0,8383.0,11041.0,5695.0,5346.0,5637.0,2600.0,3037.0,14540.0,7538.0,7002.0,122.0,119.6,124.6
2015,13115,55044.0,26012.0,29032.0,52769.0,26876.0,25893.0,23490.0,10152.0,13338.0,21215.0,11016.0,10199.0,2275.0,-864.0,3139.0,31554.0,15860.0,15694.0,104.3,96.8,112.1
2015,13116,56061.0,28763.0,27298.0,23405.0,12070.0,11335.0,41947.0,21472.0,20475.0,9291.0,4779.0,4512.0,32656.0,16693.0,15963.0,14114.0,7291.0,6823.0,239.5,238.3,240.8
2015,13117,32147.0,15435.0,16712.0,29281.0,15154.0,14127.0,12849.0,5515.0,7334.0,9983.0,5234.0,4749.0,2866.0,281.0,2585.0,19298.0,9920.0,9378.0,109.8,101.9,118.3
2015,13118,17443.0,9662.0,7781.0,20068.0,10331.0,9737.0,4528.0,3014.0,1514.0,7153.0,3683.0,3470.0,-2625.0,-669.0,-1956.0,12915.0,6648.0,6267.0,86.9,93.5,79.9
2015,13119,55824.0,27376.0,28448.0,55314.0,28059.0,27255.0,18481.0,8287.0,10194.0,17971.0,8970.0,9001.0,510.0,-683.0,1193.0,37343.0,19089.0,18254.0,100.9,97.6,104.4
2015,13120,63681.0,33242.0,30439.0,79728.0,41257.0,38471.0,10135.0,5506.0,4629.0,26182.0,13521.0,12661.0,-16047.0,-8015.0,-8032.0,53546.0,27736.0,25810.0,79.9,80.6,79.1
2015,13121,58328.0,31360.0,26968.0,67662.0,34936.0,32726.0,7866.0,5188.0,2678.0,17200.0,8764.0,8436.0,-9334.0,-3576.0,-5758.0,50462.0,26172.0,24290.0,86.2,89.8,82.4
2015,13122,37943.0,20287.0,17656.0,46372.0,24061.0,22311.0,5664.0,3463.0,2201.0,14093.0,7237.0,6856.0,-8429.0,-3774.0,-4655.0,32279.0,16824.0,15455.0,81.8,84.3,79.1
2015,13123,66124.0,32673.0,33451.0,82007.0,41698.0,40309.0,7023.0,2708.0,4315.0,22906.0,11733.0,11173.0,-15883.0,-9025.0,-6858.0,59101.0,29965.0,29136.0,80.6,78.4,83.0
2015,13200,538828.0,279702.0,259126.0,520554.0,271915.0,248639.0,104250.0,53761.0,50489.0,85976.0,45974.0,40002.0,18274.0,7787.0,10487.0,434578.0,225941.0,208637.0,103.5,102.9,104.2
2015,13201,107054.0,60579.0,46475.0,78183.0,42049.0,36134.0,46311.0,27489.0,18822.0,17440.0,8959.0,8481.0,28871.0,18530.0,10341.0,60743.0,33090.0,27653.0,136.9,144.1,128.6
2015,13202,19661.0,9920.0,9741.0,18261.0,9183.0,9078.0,7877.0,4069.0,3808.0,6477.0,3332.0,3145.0,1400.0,737.0,663.0,11784.0,5851.0,5933.0,107.7,108.0,107.3
2015,13203,25082.0,12368.0,12714.0,16261.0,8290.0,7971.0,15797.0,7587.0,8210.0,6976.0,3509.0,3467.0,8821.0,4078.0,4743.0,9285.0,4781.0,4504.0,154.2,149.2,159.5
2015,13204,20894.0,10178.0,10716.0,23397.0,11951.0,11446.0,6056.0,2625.0,3431.0,8559.0,4398.0,4161.0,-2503.0,-1773.0,-730.0,14838.0,7553.0,7285.0,89.3,85.2,93.6
